Year,Month,Day,Location,Rep,Treatment,TermTiming,Zone,Species,Intercepts
2018,2,14,Tehama,1,Standard,Late,Alley,BROIN,1
2018,2,14,Tehama,1,Standard,Late,Alley,CAPBP,8
2018,2,14,Tehama,1,Standard,Late,Alley,EROCI,20
2018,2,14,Tehama,1,Standard,Late,Alley,MEDPO,1
2018,2,14,Tehama,1,Standard,Late,Alley,CONAR,1
2018,2,14,Tehama,1,Standard,Late,Alley,EROBO,3
2018,2,14,Tehama,1,Standard,Late,Alley,VICVI,1
2018,2,14,Tehama,1,Standard,Late,Alley,ANGAR,6
2018,2,14,Tehama,1,Standard,Late,Alley,TRFPR,1
2018,2,14,Tehama,1,Standard,Late,Alley,NONE,8
2018,2,14,Tehama,1,Standard,Late,Strip,MEDPO,1
2018,2,14,Tehama,1,Standard,Late,Strip,CONAR,2
2018,2,14,Tehama,1,Standard,Late,Strip,SONOL,2
2018,2,14,Tehama,1,Standard,Late,Strip,NONE,45
2018,2,14,Tehama,1,Pollinator,Late,Alley,SINAL,50
2018,2,14,Tehama,1,Pollinator,Late,Strip,CYNDA,1
2018,2,14,Tehama,1,Pollinator,Late,Strip,TRFRE,2
2018,2,14,Tehama,1,Pollinator,Late,Strip,NONE,47
2018,2,14,Tehama,1,Soil,Late,Alley,LOLMU,7
2018,2,14,Tehama,1,Soil,Late,Alley,SINAL,43
2018,2,14,Tehama,1,Soil,Late,Strip,SINAL,2
2018,2,14,Tehama,1,Soil,Late,Strip,VICVI,1
2018,2,14,Tehama,1,Soil,Late,Strip,TRFRE,1
2018,2,14,Tehama,1,Soil,Late,Strip,BROIN,2
2018,2,14,Tehama,1,Soil,Late,Strip,CYNDA,1
2018,2,14,Tehama,1,Soil,Late,Strip,MEDPO,1
2018,2,14,Tehama,1,Soil,Late,Strip,NONE,42
2018,2,14,Tehama,2,Standard,Late,Alley,CYNDA,4
2018,2,14,Tehama,2,Standard,Late,Alley,ANGAR,3
2018,2,14,Tehama,2,Standard,Late,Alley,EROMO,3
2018,2,14,Tehama,2,Standard,Late,Alley,ANGAR,8
2018,2,14,Tehama,2,Standard,Late,Alley,CAPBP,1
2018,2,14,Tehama,2,Standard,Late,Alley,BROIN,1
2018,2,14,Tehama,2,Standard,Late,Alley,EROCI,8
2018,2,14,Tehama,2,Standard,Late,Alley,TRFRE,2
2018,2,14,Tehama,2,Standard,Late,Alley,EPHMA,1
2018,2,14,Tehama,2,Standard,Late,Alley,MEDPO,1
2018,2,14,Tehama,2,Standard,Late,Alley,TRFPR,1
2018,2,14,Tehama,2,Standard,Late,Alley,NONE,17
2018,2,14,Tehama,2,Standard,Late,Strip,CYNDA,14
2018,2,14,Tehama,2,Standard,Late,Strip,LACSE,1
2018,2,14,Tehama,2,Standard,Late,Strip,ANGAR,1
2018,2,14,Tehama,2,Standard,Late,Strip,TRFRE,2
2018,2,14,Tehama,2,Standard,Late,Strip,EROMO,1
2018,2,14,Tehama,2,Standard,Late,Strip,NONE,31
